Packet,Voltage,Pressure,RSSI,Time (seconds),,Maximum Workable Pressure,Minimum Workable Pressure,Experiment Description,,,,,Results,
,,,,,,,,Pump Throttle was varied to determine Max and Min pressure that is acceptable to work with,,,,,Maximum Workable Pressure (PSI),150
1657,0.249,0.2,-40,0,,150,60,,,,,,Minimum Workable Pressure (PSI),60
1658,0.248,0.1,-38,2,,150,60,,,,,,,
1659,0.246,0,-49,4,,150,60,,,,,,,
1660,0.246,0,-48,6,,150,60,,,,,,,
1661,0.251,0.3,-39,8,,150,60,,,,,,,
1662,0.249,0.2,-42,10,,150,60,,,,,,,
1663,0.249,0.2,-40,12,,150,60,,,,,,,
1664,0.251,0.3,-20,14,,150,60,,,,,,,
1666,0.253,0.4,-43,16,,150,60,,,,,,,
1667,0.249,0.2,-46,18,,150,60,,,,,,,
1669,0.248,0.1,-46,20,,150,60,,,,,,,
1670,0.246,0,-46,22,,150,60,,,,,,,
1671,0.249,0.2,-43,24,,150,60,,,,,,,
1673,0.248,0.1,-45,26,,150,60,,,,,,,
1674,0.246,0,-45,28,,150,60,,,,,,,
1676,0.654,23.6,-60,30,,150,60,,,,,,,
1677,1.392,66.5,-54,32,,150,60,,,,,,,
1679,1.494,72.4,-45,34,,150,60,,,,,,,
1681,1.456,70.2,-47,36,,150,60,,,,,,,
1682,1.498,72.6,-54,38,,150,60,,,,,,,
1683,1.508,73.2,-55,40,,150,60,,,,,,,
1684,1.475,71.3,-50,42,,150,60,,,,,,,
1686,1.41,67.5,-52,44,,150,60,,,,,,,
1688,1.489,72.1,-55,46,,150,60,,,,,,,
1689,1.42,68.1,-60,48,,150,60,,,,,,,
1690,1.406,67.3,-50,50,,150,60,,,,,,,
1691,1.49,72.2,-54,52,,150,60,,,,,,,
1693,1.462,70.5,-45,54,,150,60,,,,,,,
1697,1.439,69.2,-40,56,,150,60,,,,,,,
1698,1.424,68.3,-37,58,,150,60,,,,,,,
1699,1.266,59.2,-41,60,,150,60,,,,,,,
1700,1.33,62.9,-48,62,,150,60,,,,,,,
1701,1.392,66.5,-52,64,,150,60,,,,,,,
1702,1.428,68.5,-42,66,,150,60,,,,,,,
1703,1.398,66.8,-44,68,,150,60,,,,,,,
1704,1.349,64,-43,70,,150,60,,,,,,,
1706,1.415,67.8,-45,72,,150,60,,,,,,,
1707,1.401,67,-43,74,,150,60,,,,,,,
1708,1.289,60.5,-43,76,,150,60,,,,,,,
1710,2.148,110.3,-44,78,,150,60,,,,,,,
1711,2.387,124.2,-44,80,,150,60,,,,,,,
1712,2.446,127.6,-42,82,,150,60,,,,,,,
1713,2.465,128.7,-41,84,,150,60,,,,,,,
1715,2.519,131.8,-40,86,,150,60,,,,,,,
1716,2.516,131.7,-41,88,,150,60,,,,,,,
1717,2.515,131.6,-42,90,,150,60,,,,,,,
1718,2.517,131.8,-41,92,,150,60,,,,,,,
1719,2.517,131.8,-44,94,,150,60,,,,,,,
1720,2.521,132,-43,96,,150,60,,,,,,,
1722,2.544,133.3,-42,98,,150,60,,,,,,,
1723,2.647,139.3,-42,100,,150,60,,,,,,,
1725,2.542,133.2,-44,102,,150,60,,,,,,,
1727,2.547,133.5,-46,104,,150,60,,,,,,,
1728,2.556,134,-47,106,,150,60,,,,,,,
1729,2.547,133.5,-46,108,,150,60,,,,,,,
1730,2.572,135,-45,110,,150,60,,,,,,,
1731,2.539,133,-47,112,,150,60,,,,,,,
1732,2.539,133,-51,114,,150,60,,,,,,,
1733,2.657,139.9,-44,116,,150,60,,,,,,,
1734,2.538,133,-48,118,,150,60,,,,,,,
1735,2.632,138.5,-43,120,,150,60,,,,,,,
1736,2.574,135,-43,122,,150,60,,,,,,,
1737,2.424,126.4,-42,124,,150,60,,,,,,,
1738,2.742,144.8,-43,126,,150,60,,,,,,,
1739,2.933,155.9,-42,128,,150,60,,,,,,,
1742,3.098,165.5,-38,130,,150,60,,,,,,,
1743,3.115,166.4,-40,132,,150,60,,,,,,,
1744,3.171,169.7,-42,134,,150,60,,,,,,,
1745,3.273,175.6,-40,136,,150,60,,,,,,,
1746,3.254,174.5,-40,138,,150,60,,,,,,,
1748,3.131,167.4,-42,140,,150,60,,,,,,,
1777,3.598,194.5,-50,142,,150,60,,,,,,,
1779,3.12,166.7,-56,144,,150,60,,,,,,,
1780,2.815,149.1,-60,146,,150,60,,,,,,,
1781,2.764,146.1,-58,148,,150,60,,,,,,,
1782,2.581,135.5,-58,150,,150,60,,,,,,,
1783,2.395,124.6,-66,152,,150,60,,,,,,,
1784,2.201,113.4,-69,154,,150,60,,,,,,,
1785,2.007,102.2,-76,156,,150,60,,,,,,,
1786,1.815,91,-63,158,,150,60,,,,,,,
1787,1.621,79.8,-60,160,,150,60,,,,,,,
1788,1.449,69.8,-56,162,,150,60,,,,,,,
1789,1.298,61.1,-60,164,,150,60,,,,,,,
1793,3.473,187.2,-52,166,,150,60,,,,,,,
1794,3.652,197.6,-51,168,,150,60,,,,,,,
1795,3.625,196,-51,170,,150,60,,,,,,,
1796,3.672,198.8,-51,172,,150,60,,,,,,,
1798,3.646,197.2,-52,174,,150,60,,,,,,,
1799,3.972,216.1,-49,176,,150,60,,,,,,,
1800,3.976,216.4,-51,178,,150,60,,,,,,,
1802,4.435,243,-53,180,,150,60,,,,,,,
1803,4.359,238.6,-53,182,,150,60,,,,,,,
1804,4.448,243.8,-55,184,,150,60,,,,,,,
1805,4.234,231.4,-53,186,,150,60,,,,,,,
1806,4.004,218,-56,188,,150,60,,,,,,,
1807,3.821,207.4,-54,190,,150,60,,,,,,,
1808,3.678,199.1,-50,192,,150,60,,,,,,,
1809,3.484,187.9,-51,194,,150,60,,,,,,,
1811,3.125,167,-54,196,,150,60,,,,,,,
1812,2.971,158.1,-48,198,,150,60,,,,,,,
1813,2.388,124.3,-50,200,,150,60,,,,,,,
1814,1.786,89.3,-51,202,,150,60,,,,,,,
1815,1.347,63.9,-55,204,,150,60,,,,,,,
1816,1.023,45.1,-51,206,,150,60,,,,,,,
1818,0.595,20.2,-50,208,,150,60,,,,,,,
1819,0.471,13,-54,210,,150,60,,,,,,,
1821,0.342,5.5,-50,212,,150,60,,,,,,,
1822,0.304,3.4,-51,214,,150,60,,,,,,,
1823,0.284,2.2,-51,216,,150,60,,,,,,,
1825,0.269,1.3,-51,218,,150,60,,,,,,,
1826,0.26,0.8,-51,220,,150,60,,,,,,,
1828,0.258,0.7,-52,222,,150,60,,,,,,,
1829,0.27,1.4,-52,224,,150,60,,,,,,,
1830,0.257,0.6,-55,226,,150,60,,,,,,,
1831,0.26,0.8,-51,228,,150,60,,,,,,,
1832,0.252,0.3,-51,230,,150,60,,,,,,,
1833,0.26,0.8,-52,232,,150,60,,,,,,,
1834,0.26,0.8,-52,234,,150,60,,,,,,,
1835,0.26,0.8,-51,236,,150,60,,,,,,,
1836,0.249,0.2,-52,238,,150,60,,,,,,,
1837,0.252,0.3,-50,240,,150,60,,,,,,,
1839,0.252,0.3,-52,242,,150,60,,,,,,,
1840,0.253,0.4,-51,244,,150,60,,,,,,,
1846,0.252,0.3,-56,246,,150,60,,,,,,,
1848,0.253,0.4,-58,248,,150,60,,,,,,,
1849,0.248,0.1,-60,250,,150,60,,,,,,,
1850,0.251,0.3,-60,252,,150,60,,,,,,,
1851,0.253,0.4,-56,254,,150,60,,,,,,,
1853,0.249,0.2,-68,256,,150,60,,,,,,,
1854,0.26,0.8,-65,258,,150,60,,,,,,,
1855,0.246,0,-64,260,,150,60,,,,,,,
1856,0.253,0.4,-66,262,,150,60,,,,,,,
1857,0.251,0.3,-70,264,,150,60,,,,,,,
1858,0.255,0.5,-54,266,,150,60,,,,,,,
1859,0.253,0.4,-61,268,,150,60,,,,,,,
1860,0.249,0.2,-73,270,,150,60,,,,,,,
1861,0.248,0.1,-61,272,,150,60,,,,,,,
1862,0.251,0.3,-54,274,,150,60,,,,,,,
1863,0.249,0.2,-47,276,,150,60,,,,,,,
1864,0.26,0.8,-51,278,,150,60,,,,,,,
1865,0.248,0.1,-53,280,,150,60,,,,,,,
1866,0.246,0,-57,282,,150,60,,,,,,,
1867,0.253,0.4,-59,284,,150,60,,,,,,,
1868,0.251,0.3,-62,286,,150,60,,,,,,,
1869,0.248,0.1,-67,288,,150,60,,,,,,,
1870,0.248,0.1,-65,290,,150,60,,,,,,,
1871,0.252,0.3,-71,292,,150,60,,,,,,,
1872,0.253,0.4,-66,294,,150,60,,,,,,,
1873,0.251,0.3,-63,296,,150,60,,,,,,,
1875,0.249,0.2,-71,298,,150,60,,,,,,,
1876,0.252,0.3,-73,300,,150,60,,,,,,,
1877,0.252,0.3,-71,302,,150,60,,,,,,,
1879,0.249,0.2,-60,304,,150,60,,,,,,,
1880,0.247,0.1,-54,306,,150,60,,,,,,,
1881,0.255,0.5,-54,308,,150,60,,,,,,,
1882,0.253,0.4,-67,310,,150,60,,,,,,,
1883,0.252,0.3,-52,312,,150,60,,,,,,,
1884,0.246,0,-52,314,,150,60,,,,,,,
1886,0.258,0.7,-64,316,,150,60,,,,,,,
1887,0.252,0.3,-65,318,,150,60,,,,,,,
1888,0.248,0.1,-65,320,,150,60,,,,,,,
1889,0.246,0,-64,322,,150,60,,,,,,,
1890,1.41,67.5,-71,324,,150,60,,,,,,,
1891,4.06,221.3,-63,326,,150,60,,,,,,,
1892,4.797,264,-61,328,,150,60,,,,,,,
1893,4.755,261.6,-56,330,,150,60,,,,,,,
1897,4.811,264.8,-59,332,,150,60,,,,,,,
1898,4.807,264.6,-57,334,,150,60,,,,,,,
1899,4.715,259.3,-61,336,,150,60,,,,,,,
1900,4.728,260,-63,338,,150,60,,,,,,,
1901,4.76,261.9,-59,340,,150,60,,,,,,,
1902,4.755,261.6,-61,342,,150,60,,,,,,,
1903,4.753,261.5,-59,344,,150,60,,,,,,,
1905,4.725,259.9,-57,346,,150,60,,,,,,,
1906,4.797,264,-62,348,,150,60,,,,,,,
1907,4.825,265.6,-57,350,,150,60,,,,,,,
1908,4.783,263.2,-54,352,,150,60,,,,,,,
1909,4.81,264.8,-54,354,,150,60,,,,,,,
1910,4.798,264.1,-56,356,,150,60,,,,,,,
1911,4.81,264.8,-57,358,,150,60,,,,,,,
1912,4.81,264.8,-54,360,,150,60,,,,,,,
1913,4.81,264.8,-52,362,,150,60,,,,,,,
1915,4.808,264.7,-54,364,,150,60,,,,,,,
1916,4.81,264.8,-53,366,,150,60,,,,,,,
1917,4.769,262.4,-53,368,,150,60,,,,,,,
1918,4.774,262.7,-54,370,,150,60,,,,,,,
1919,4.781,263.1,-54,372,,150,60,,,,,,,
1920,4.798,264.1,-54,374,,150,60,,,,,,,
1922,4.752,261.4,-57,376,,150,60,,,,,,,
1923,4.76,261.9,-59,378,,150,60,,,,,,,
1924,4.772,262.6,-54,380,,150,60,,,,,,,
1925,4.748,261.2,-55,382,,150,60,,,,,,,
1926,4.715,259.3,-57,384,,150,60,,,,,,,
1927,4.775,262.8,-53,386,,150,60,,,,,,,
1929,4.81,264.8,-54,388,,150,60,,,,,,,
1930,4.787,263.4,-56,390,,150,60,,,,,,,
1931,4.793,263.8,-57,392,,150,60,,,,,,,
1932,4.811,264.8,-59,394,,150,60,,,,,,,
1933,4.81,264.8,-58,396,,150,60,,,,,,,
1935,4.829,265.9,-57,398,,150,60,,,,,,,
1936,3.997,217.6,-56,400,,150,60,,,,,,,
1937,2.92,155.1,-60,402,,150,60,,,,,,,
1939,2.008,102.2,-62,404,,150,60,,,,,,,
1940,1.641,80.9,-55,406,,150,60,,,,,,,
1941,1.337,63.3,-56,408,,150,60,,,,,,,
1942,1.076,48.1,-62,410,,150,60,,,,,,,
1943,0.862,35.7,-55,412,,150,60,,,,,,,
1944,0.701,26.4,-55,414,,150,60,,,,,,,
1945,0.594,20.2,-56,416,,150,60,,,,,,,
1947,0.395,8.7,-57,418,,150,60,,,,,,,
1948,0.352,6.1,-59,420,,150,60,,,,,,,
1950,0.295,2.9,-56,422,,150,60,,,,,,,
1951,0.285,2.3,-64,424,,150,60,,,,,,,
1952,0.27,1.4,-53,426,,150,60,,,,,,,
1953,0.266,1.2,-57,428,,150,60,,,,,,,
1954,0.264,1,-58,430,,150,60,,,,,,,
1955,0.258,0.7,-56,432,,150,60,,,,,,,
1956,0.255,0.5,-69,434,,150,60,,,,,,,
1957,0.253,0.4,-55,436,,150,60,,,,,,,
1959,0.253,0.4,-60,438,,150,60,,,,,,,
1961,0.248,0.1,-51,440,,150,60,,,,,,,
1962,0.247,0.1,-47,442,,150,60,,,,,,,
1964,0.249,0.2,-54,444,,150,60,,,,,,,
1965,0.249,0.2,-51,446,,150,60,,,,,,,
1966,0.251,0.3,-55,448,,150,60,,,,,,,
1967,0.248,0.1,-63,450,,150,60,,,,,,,
1968,0.247,0.1,-58,452,,150,60,,,,,,,
1970,0.249,0.2,-50,454,,150,60,,,,,,,
1971,0.247,0.1,-48,456,,150,60,,,,,,,
1972,0.251,0.3,-50,458,,150,60,,,,,,,
1973,0.251,0.3,-52,460,,150,60,,,,,,,
1974,0.249,0.2,-52,462,,150,60,,,,,,,
1975,0.249,0.2,-51,464,,150,60,,,,,,,
1976,0.248,0.1,-50,466,,150,60,,,,,,,
1977,0.252,0.3,-53,468,,150,60,,,,,,,
1979,0.255,0.5,-52,470,,150,60,,,,,,,
1980,0.251,0.3,-56,472,,150,60,,,,,,,
1981,0.253,0.4,-53,474,,150,60,,,,,,,
1982,0.248,0.1,-55,476,,150,60,,,,,,,
1985,0.246,0,-53,478,,150,60,,,,,,,
1987,0.249,0.2,-52,480,,150,60,,,,,,,
1990,0.242,-0.2,-55,482,,150,60,,,,,,,
1991,0.249,0.2,-56,484,,150,60,,,,,,,
1992,0.248,0.1,-57,486,,150,60,,,,,,,
1994,0.249,0.2,-47,488,,150,60,,,,,,,
1996,0.249,0.2,-50,490,,150,60,,,,,,,
1997,0.253,0.4,-52,492,,150,60,,,,,,,
1998,0.247,0.1,-53,494,,150,60,,,,,,,
1999,0.249,0.2,-51,496,,150,60,,,,,,,
2000,0.247,0.1,-51,498,,150,60,,,,,,,
2001,0.247,0.1,-52,500,,150,60,,,,,,,
2002,0.246,0,-54,502,,150,60,,,,,,,
2003,0.249,0.2,-53,504,,150,60,,,,,,,
2004,0.249,0.2,-55,506,,150,60,,,,,,,
2005,0.248,0.1,-55,508,,150,60,,,,,,,
2006,0.253,0.4,-57,510,,150,60,,,,,,,
2007,0.253,0.4,-58,512,,150,60,,,,,,,
2008,0.246,0,-59,514,,150,60,,,,,,,
2009,0.249,0.2,-57,516,,150,60,,,,,,,
2011,0.248,0.1,-59,518,,150,60,,,,,,,
2012,0.252,0.3,-55,520,,150,60,,,,,,,
2013,0.252,0.3,-55,522,,150,60,,,,,,,
2014,0.242,-0.2,-59,524,,150,60,,,,,,,
2015,0.252,0.3,-53,526,,150,60,,,,,,,
2017,0.253,0.4,-55,528,,150,60,,,,,,,
2018,0.249,0.2,-55,530,,150,60,,,,,,,
2019,0.249,0.2,-50,532,,150,60,,,,,,,
2020,0.252,0.3,-51,534,,150,60,,,,,,,
2021,0.247,0.1,-53,536,,150,60,,,,,,,
2022,0.247,0.1,-60,538,,150,60,,,,,,,
2023,0.293,2.7,-51,540,,150,60,,,,,,,
2024,0.262,0.9,-54,542,,150,60,,,,,,,
2025,0.252,0.3,-51,544,,150,60,,,,,,,
2026,0.255,0.5,-58,546,,150,60,,,,,,,
2028,0.253,0.4,-47,548,,150,60,,,,,,,
2029,0.248,0.1,-48,550,,150,60,,,,,,,
2030,0.251,0.3,-47,552,,150,60,,,,,,,
2031,0.248,0.1,-50,554,,150,60,,,,,,,
2033,0.266,1.2,-59,556,,150,60,,,,,,,
2034,0.347,5.8,-55,558,,150,60,,,,,,,
2037,2.429,126.7,-53,560,,150,60,,,,,,,
2040,2.763,146,-50,562,,150,60,,,,,,,
2047,3.693,200,-44,564,,150,60,,,,,,,
2049,3.759,203.8,-48,566,,150,60,,,,,,,
2051,3.724,201.8,-44,568,,150,60,,,,,,,
2052,3.698,200.3,-47,570,,150,60,,,,,,,
2053,3.748,203.2,-51,572,,150,60,,,,,,,
2054,3.642,197,-51,574,,150,60,,,,,,,
2055,3.647,197.3,-52,576,,150,60,,,,,,,
2057,3.665,198.3,-50,578,,150,60,,,,,,,
2058,4.607,253,-52,580,,150,60,,,,,,,
2059,4.831,266,-51,582,,150,60,,,,,,,
2060,4.812,264.9,-52,584,,150,60,,,,,,,
2061,4.81,264.8,-53,586,,150,60,,,,,,,
2062,4.794,263.9,-51,588,,150,60,,,,,,,
2063,4.803,264.4,-49,590,,150,60,,,,,,,
2064,4.776,262.8,-49,592,,150,60,,,,,,,
2065,4.802,264.3,-47,594,,150,60,,,,,,,
2066,4.798,264.1,-51,596,,150,60,,,,,,,
